year,TSI,TSI_UNC,time_bnds_lwr,time_bnds_upr
1931,1360.6818,0.28336155,117242.0,117607.0
1932,1360.5667,0.21669142,117607.0,117973.0
1933,1360.4906,0.17490982,117973.0,118338.0
1934,1360.5598,0.18320347,118338.0,118703.0
1935,1360.7996,0.33642128,118703.0,119068.0
1936,1361.2286,0.5390278,119068.0,119434.0
1937,1361.205,0.7458186,119434.0,119799.0
1938,1361.1284,0.71881944,119799.0,120164.0
1939,1361.0916,0.6194345,120164.0,120529.0
1940,1360.9985,0.46420476,120529.0,120895.0
1941,1360.9114,0.32920823,120895.0,121260.0
1942,1360.791,0.21690303,121260.0,121625.0
1943,1360.6261,0.1232132,121625.0,121990.0
1944,1360.673,0.07263323,121990.0,122356.0
1945,1360.9412,0.18567944,122356.0,122721.0
1946,1361.0884,0.5126148,122721.0,123086.0
1947,1361.3927,0.7665883,123086.0,123451.0
1948,1361.5063,0.63357633,123451.0,123817.0
1949,1361.4088,0.65780187,123817.0,124182.0
1950,1361.1179,0.39193213,124182.0,124547.0
1951,1360.8497,0.3250229,124547.0,124912.0
1952,1360.8224,0.15307869,124912.0,125278.0
1953,1360.6938,0.07607765,125278.0,125643.0
1954,1360.7009,0.054023746,125643.0,126008.0
1955,1360.8811,0.1951093,126008.0,126373.0
1956,1361.4214,0.68481266,126373.0,126739.0
1957,1361.9398,0.9395201,126739.0,127104.0
1958,1361.861,0.93163425,127104.0,127469.0
1959,1361.5613,0.8427595,127469.0,127834.0
1960,1361.4275,0.5449763,127834.0,128200.0
1961,1360.9957,0.24058492,128200.0,128565.0
1962,1360.7981,0.18508819,128565.0,128930.0
1963,1360.7325,0.13832137,128930.0,129295.0
1964,1360.7277,0.0754994,129295.0,129661.0
1965,1360.774,0.0849294,129661.0,130026.0
1966,1361.0021,0.22966981,130026.0,130391.0
1967,1361.223,0.4816628,130391.0,130756.0
1968,1361.3037,0.5252644,130756.0,131122.0
1969,1361.3771,0.5282233,131122.0,131487.0
1970,1361.3759,0.56030315,131487.0,131852.0
1971,1361.04,0.34307045,131852.0,132217.0
1972,1361.1002,0.3263705,132217.0,132583.0
1973,1360.8647,0.19739196,132583.0,132948.0
1974,1360.771,0.16767696,132948.0,133313.0
1975,1360.7155,0.08110662,133313.0,133678.0
1976,1360.6946,0.077505745,133678.0,134044.0
1977,1360.8905,0.16059771,134044.0,134409.0
1978,1361.2162,0.46371794,134409.0,134774.0
1979,1361.6016,0.74642617,134774.0,135139.0
1980,1361.6398,0.75217056,135139.0,135505.0
1981,1361.6833,0.7801454,135505.0,135870.0
1982,1361.2311,0.68541306,135870.0,136235.0
1983,1361.2137,0.35561043,136235.0,136600.0
1984,1360.7904,0.2539181,136600.0,136966.0
1985,1360.633,0.06694387,136966.0,137331.0
1986,1360.6417,0.054735154,137331.0,137696.0
1987,1360.7828,0.11458199,137696.0,138061.0
1988,1361.1195,0.42293414,138061.0,138427.0
1989,1361.6433,0.7826591,138427.0,138792.0
1990,1361.5521,0.67143935,138792.0,139157.0
1991,1361.5178,0.7767009,139157.0,139522.0
1992,1361.3082,0.48512366,139522.0,139888.0
1993,1360.9427,0.25494823,139888.0,140253.0
1994,1360.742,0.13337566,140253.0,140618.0
1995,1360.7317,0.08833418,140618.0,140983.0
1996,1360.6763,0.054344453,140983.0,141349.0
1997,1360.8073,0.108319,141349.0,141714.0
1998,1361.1759,0.3099433,141714.0,142079.0
1999,1361.48,0.47250086,142079.0,142444.0
2000,1361.6603,0.62381774,142444.0,142810.0
2001,1361.5686,0.6176039,142810.0,143175.0
2002,1361.6332,0.6604403,143175.0,143540.0
2003,1361.1283,0.3868573,143540.0,143905.0
2004,1360.918,0.25092497,143905.0,144271.0
2005,1360.7004,0.16869345,144271.0,144636.0
2006,1360.6796,0.094140925,144636.0,145001.0
2007,1360.6039,0.052060954,145001.0,145366.0
2008,1360.6097,0.025796838,145366.0,145732.0
2009,1360.6066,0.025553208,145732.0,146097.0
2010,1360.7854,0.104274884,146097.0,146462.0
2011,1361.069,0.29181015,146462.0,146827.0
2012,1361.1926,0.3271699,146827.0,147193.0
2013,1361.2631,0.3536621,147193.0,147558.0
2014,1361.3862,0.4772301,147558.0,147923.0
2015,1361.4098,0.33335423,147923.0,148288.0
2016,1360.9519,0.16729724,148288.0,148654.0
2017,1360.6597,0.08419476,148654.0,149019.0
2018,1360.6387,0.032952376,149019.0,149384.0
2019,1360.6492,0.03552923,149384.0,149749.0
2020,1360.7491,0.06818143,149749.0,150115.0
2021,1360.9749,0.15281205,150115.0,150480.0
2022,1361.4944,0.39227763,150480.0,150845.0
